Isotope,Half Life,Unit,Computed Half Life
actinium-205,20.0,seconds,0.02
actinium-206,25.0,seconds,0.025
actinium-206m1,15.0,seconds,0.015
actinium-206m2,41.0,seconds,0.041
actinium-207,31.0,seconds,0.031
actinium-208,97.0,seconds,0.097
actinium-208m,28.0,seconds,0.028
actinium-209,92.0,seconds,0.092
actinium-210,350.0,seconds,0.35000000000000003
actinium-211,213.0,seconds,0.213
actinium-212,920.0,seconds,0.92
actinium-213,731.0,seconds,0.731
actinium-214,8.2,seconds,8.2
actinium-215,170.0,seconds,0.17
actinium-216,440.0,seconds,0.00043999999999999996
actinium-216m,443.0,seconds,0.000443
actinium-217,69.0,seconds,6.900000000000001e-08
actinium-217m,740.0,seconds,7.4e-07
actinium-218,1.08,seconds,1.08e-06
actinium-218m,103.0,seconds,1.0300000000000001e-07
actinium-219,11.8,seconds,1.18e-05
actinium-220,26.36,seconds,0.02636
actinium-221,52.0,seconds,0.052000000000000005
actinium-222,5.0,seconds,5.0
actinium-222m,63.0,seconds,63.0
actinium-223,126.0,seconds,126.0
actinium-224,10.0,seconds,10000.0
actinium-225,860.0,seconds,860000.0
actinium-226,105.74,seconds,105740.0
actinium-227,687.1,seconds,687100000.0
actinium-228,22.1,seconds,22100.0
actinium-229,3.76,seconds,3760.0
actinium-230,122.0,seconds,122.0
actinium-231,450.0,seconds,450.0
actinium-232,119.0,seconds,119.0
actinium-233,145.0,seconds,145.0
actinium-234,44.0,seconds,44.0
actinium-235,60.0,seconds,60.0
actinium-236,72.0,seconds,72.0
aluminium-26,22.6,seconds,22600000000000.0
americium-223,5.2,seconds,0.005200000000000001
americium-229,1.8,seconds,1.8
americium-230,32.0,seconds,32.0
americium-232,79.0,seconds,79.0
americium-233,190.0,seconds,190.0
americium-234,139.0,seconds,139.0
americium-235,590.0,seconds,590.0
americium-236,220.0,seconds,220.0
americium-237,4.4,seconds,4400.0
americium-238,5.9,seconds,5900.0
americium-238m,35.0,seconds,3.5e-05
americium-239,43.0,seconds,43000.0
americium-239m,163.0,seconds,1.6300000000000002e-07
americium-240,182.9,seconds,182900.0
americium-241,13.64,seconds,13640000000.0
americium-241m,1.2,seconds,1.2e-06
americium-242,57.7,seconds,57700.0
americium-242m1,4.4,seconds,4400000000.0
americium-242m2,14.0,seconds,0.014
americium-243,233.0,seconds,233000000000.0
americium-244,36.0,seconds,36000.0
americium-245,7.4,seconds,7400.0
americium-246m1,1.5,seconds,1500.0
americium-246m2,73.0,seconds,7.3e-05
americium-247,1.38,seconds,1380.0
argon-39,8.5,seconds,8500000000.0
astatine-191,1.7,seconds,0.0017
astatine-191m,2.1,seconds,0.0021000000000000003
astatine-192,11.5,seconds,0.0115
astatine-192m,88.0,seconds,0.088
astatine-193,28.0,seconds,0.028
astatine-193m1,21.0,seconds,0.021
astatine-193m2,27.0,seconds,0.027
astatine-194,286.0,seconds,0.28600000000000003
astatine-194m,323.0,seconds,0.323
astatine-195,328.0,seconds,0.328
astatine-195m,147.0,seconds,0.147
astatine-196,253.0,seconds,0.253
astatine-196m1,20.0,seconds,0.02
astatine-196m2,11.0,seconds,1.1e-05
astatine-197,388.0,seconds,0.388
astatine-197m,2.0,seconds,2.0
astatine-198,4.2,seconds,4.2
astatine-198m,1.0,seconds,1.0
astatine-199,6.92,seconds,6.92
astatine-200,43.2,seconds,43.2
astatine-200m1,47.0,seconds,47.0
astatine-200m2,3.5,seconds,3.5
astatine-201,85.0,seconds,85.0
astatine-202,184.0,seconds,184.0
astatine-202m1,182.0,seconds,182.0
astatine-202m2,460.0,seconds,0.46
astatine-203,442.0,seconds,442.0
astatine-204,550.0,seconds,550.0
astatine-204m,108.0,seconds,0.108
astatine-205m,7.76,seconds,7.76e-06
astatine-206m,410.0,seconds,4.1000000000000004e-07
astatine-207,6.5,seconds,6500.0
astatine-208,5.9,seconds,5900.0
astatine-209,19.5,seconds,19500.0
astatine-210,29.0,seconds,29000.0
astatine-210m1,482.0,seconds,0.00048199999999999995
astatine-210m2,5.66,seconds,5.66e-06
astatine-211,25.97,seconds,25970.0
